iter	Passed	Remaining
0	27	513
1	53	484
2	82	469
3	109	439
4	138	416
5	169	394
6	195	362
7	236	355
8	263	322
9	292	292
10	320	262
11	348	232
12	378	203
13	408	175
14	440	146
15	471	117
16	500	88
17	527	58
18	553	29
19	584	0
