iter	RMSE
0	2.978336872
1	2.880645938
2	2.852016929
3	2.83300243
4	2.806399679
5	2.789500986
6	2.773851361
7	2.772750184
8	2.763720837
9	2.752712862
10	2.745424448
11	2.74431686
12	2.739948357
13	2.731582618
14	2.730805294
15	2.73066566
16	2.725755199
17	2.723018134
18	2.715536664
19	2.713275068
